iter	Passed	Remaining
0	135	135421
1	136	68349
2	138	45865
3	138	34588
4	139	27802
5	140	23269
6	141	20055
7	142	17645
8	143	15761
9	143	14245
10	144	13010
11	145	11974
12	146	11114
13	147	10372
14	147	9718
15	148	9144
16	149	8644
17	150	8200
18	151	7804
19	151	7440
20	152	7118
21	153	6827
22	154	6561
23	155	6307
24	155	6076
25	156	5864
26	157	5670
27	158	5486
28	158	5316
29	159	5158
30	160	5010
31	161	4873
32	161	4746
33	162	4624
34	163	4513
35	164	4401
36	165	4300
37	166	4204
38	167	4115
39	167	4026
40	168	3940
41	169	3859
42	170	3783
43	170	3709
44	171	3638
45	172	3575
46	173	3512
47	174	3455
48	175	3397
49	175	3343
50	176	3288
51	177	3238
52	178	3190
53	179	3142
54	180	3097
55	181	3054
56	182	3013
57	182	2971
58	183	2932
59	184	2894
60	185	2858
61	186	2821
62	187	2789
63	188	2757
64	189	2725
65	190	2694
66	191	2663
67	191	2629
68	192	2599
69	193	2569
70	194	2541
71	195	2515
72	196	2491
73	197	2466
74	197	2440
75	198	2415
76	199	2391
77	200	2366
78	200	2343
79	201	2322
80	202	2300
81	203	2278
82	204	2256
83	205	2236
84	205	2215
85	206	2196
86	207	2174
87	207	2155
88	208	2138
89	209	2119
90	210	2102
91	211	2085
92	211	2066
93	212	2049
94	213	2031
95	213	2015
96	214	1999
97	215	1984
98	216	1970
99	217	1955
100	217	1940
101	218	1922
102	219	1908
103	219	1893
104	220	1878
105	221	1864
106	221	1849
107	222	1836
108	223	1823
109	223	1811
110	224	1799
111	225	1787
112	226	1776
113	226	1763
114	227	1751
115	228	1737
116	228	1725
117	229	1713
118	229	1700
119	230	1689
120	231	1678
121	231	1667
122	231	1654
123	232	1643
124	233	1632
125	233	1621
126	234	1611
127	234	1599
128	235	1589
129	235	1579
130	236	1569
131	237	1559
132	237	1549
133	238	1540
134	238	1531
135	239	1521
136	240	1514
137	241	1505
138	241	1496
139	242	1488
140	242	1479
141	243	1470
142	243	1462
143	244	1454
144	245	1446
145	245	1438
146	246	1430
147	247	1423
148	247	1415
149	248	1407
150	249	1400
151	249	1392
152	250	1385
153	250	1377
154	251	1370
155	252	1363
156	252	1356
157	253	1349
158	253	1342
159	254	1335
160	254	1328
161	255	1323
162	256	1317
163	257	1310
164	257	1304
165	258	1297
166	258	1291
167	259	1285
168	260	1279
169	260	1273
170	261	1267
171	262	1261
172	262	1255
173	263	1249
174	263	1243
175	264	1238
176	265	1232
177	265	1226
178	266	1221
179	266	1215
180	267	1208
181	267	1203
182	268	1197
183	268	1192
184	269	1187
185	270	1181
186	270	1177
187	271	1172
188	272	1167
189	272	1162
190	273	1157
191	274	1153
192	274	1148
193	275	1143
194	275	1138
195	276	1133
196	277	1129
197	277	1124
198	278	1119
199	278	1115
200	279	1110
201	279	1105
202	280	1101
203	281	1096
204	281	1092
205	282	1087
206	282	1083
207	283	1079
208	284	1075
209	284	1071
210	285	1066
211	286	1063
212	286	1059
213	287	1055
214	288	1052
215	289	1049
216	289	1045
217	290	1041
218	290	1037
219	291	1033
220	291	1029
221	292	1025
222	293	1021
223	293	1017
224	294	1013
225	294	1010
226	295	1006
227	296	1002
228	296	998
229	297	995
230	297	991
231	298	988
232	299	984
233	299	980
234	300	977
235	301	974
236	301	971
237	302	968
238	303	965
239	303	962
240	304	958
241	305	955
242	305	952
243	306	948
244	306	945
245	307	942
246	307	938
247	308	935
248	309	932
249	309	929
250	310	925
251	310	922
252	311	919
253	312	916
254	312	913
255	313	910
256	313	907
257	314	904
258	315	901
259	315	898
260	316	896
261	317	894
262	318	891
263	318	888
264	319	885
265	319	882
266	320	879
267	321	876
268	321	874
269	322	871
270	322	868
271	323	865
272	324	862
273	324	860
274	325	857
275	325	854
276	326	852
277	327	849
278	327	846
279	328	844
280	328	841
281	329	838
282	330	836
283	330	833
284	331	832
285	332	829
286	333	827
287	333	824
288	334	822
289	334	819
290	335	817
291	336	814
292	336	812
293	337	809
294	337	807
295	338	804
296	339	802
297	339	800
298	340	797
299	340	795
300	341	792
301	341	790
302	342	788
303	343	785
304	343	783
305	344	781
306	344	778
307	345	776
308	346	774
309	347	772
310	347	770
311	348	768
312	348	765
313	349	763
314	350	761
315	350	759
316	351	757
317	351	754
318	352	752
319	353	750
320	353	748
321	354	745
322	354	743
323	355	741
324	355	739
325	356	737
326	357	735
327	357	733
328	358	731
329	359	728
330	359	726
331	360	725
332	361	723
333	361	721
334	362	719
335	363	717
336	363	715
337	364	713
338	364	711
339	365	709
340	366	707
341	366	705
342	367	703
343	367	701
344	368	699
345	369	697
346	369	695
347	370	693
348	370	691
349	371	689
350	371	687
351	372	685
352	373	683
353	373	682
354	374	680
355	375	678
356	375	676
357	376	674
358	376	673
359	377	671
360	378	669
361	378	667
362	379	666
363	380	664
364	380	662
365	381	660
366	381	658
367	382	656
368	383	655
369	383	653
370	384	651
371	384	649
372	385	648
373	386	646
374	386	644
375	387	642
376	387	641
377	388	639
378	389	637
379	389	635
380	390	634
381	390	632
382	391	630
383	392	629
384	392	627
385	393	626
386	394	624
387	394	622
388	395	621
389	396	619
390	396	617
391	397	616
392	397	614
393	398	612
394	398	611
395	399	609
396	400	607
397	400	606
398	401	604
399	401	602
400	402	601
401	403	599
402	403	598
403	404	596
404	405	595
405	405	593
406	406	592
407	407	590
408	407	589
409	408	587
410	409	586
411	409	584
412	410	583
413	410	581
414	411	580
415	412	578
416	412	576
417	413	575
418	413	573
419	414	572
420	415	570
421	415	569
422	416	567
423	416	566
424	417	565
425	418	563
426	418	562
427	419	560
428	420	559
429	420	557
430	421	556
431	421	554
432	422	553
433	423	552
434	423	550
435	424	549
436	425	547
437	425	546
438	426	544
439	426	543
440	427	542
441	428	540
442	428	539
443	429	537
444	429	536
445	430	534
446	431	533
447	431	532
448	432	530
449	433	529
450	433	528
451	434	526
452	435	525
453	435	523
454	436	522
455	436	521
456	437	519
457	438	518
